Year,Id,Link_ID,Active,Link_Info,From_Core,To_Core,Euc_Dist,CW_Dist,LCP_Length,Shape_Length,cw_to_Euc_Dist_Ratio,cwd_to_Path_Length_Ratio,Current_Flow_Centrality,Effective_Resistance,cwd_to_Eff_Resist_Ratio
2017,0,1,1,"""Connects_cores""",1,43,7412,136849.36,8902,8902.051918,18.45999908,15.36999989,-1,3689.719971,37.08929825
2017,0,2,1,"""Connects_cores""",1,51,4758,84621.22,5168,5168.376668,17.79000092,16.37000084,-1,3303.27002,25.61739922
2017,0,3,1,"""Connects_cores""",1,54,1732,127893.25,7374,7374.701158,73.83999634,17.34000015,-1,5639.430176,22.67840004
2017,0,4,1,"""Connects_cores""",1,63,601,272669.16,763,763.6753802,453.6900024,357.3599854,-1,32995.10156,8.263930321
2017,0,5,1,"""Connects_cores""",1,64,2027,191956.98,12747,12747.56492,94.69999695,15.06000042,-1,3988.530029,48.12720108
2017,0,6,1,"""Connects_cores""",1,68,16193,292190.16,17692,17692.26622,18.04000092,16.52000046,-1,5103.299805,57.25519943
2017,0,7,1,"""Connects_cores""",1,79,16021,310531.81,20465,20465.72733,19.37999916,15.17000008,-1,6353.72998,48.87400055
2017,0,8,1,"""Connects_cores""",2,73,16323,271217.22,18082,18082.05206,16.62000084,15,-1,4303,63.02980042
2017,0,9,1,"""Connects_cores""",2,83,10731,169815.5,11891,11891.24021,15.81999969,14.27999973,-1,2464.629883,68.90110016
2017,0,10,1,"""Connects_cores""",2,85,9798,165311.38,11127,11127.5648,16.87000084,14.85999966,-1,3239.540039,51.02930069
2017,0,11,1,"""Connects_cores""",2,87,718,38791.3,1191,1191.8377,54.02999878,32.56999969,-1,3417.75,11.34990025
2017,0,12,1,"""Connects_cores""",2,88,3544,113441.41,6071,6071.025879,32.00999832,18.69000053,-1,3635.97998,31.1996994
2017,0,13,1,"""Connects_cores""",2,89,8077,138729.45,9330,9330.214309,17.18000031,14.86999989,-1,1496.780029,92.68499756
2017,0,14,1,"""Connects_cores""",2,92,6885,114543.37,7914,7914.70131,16.63999939,14.47000027,-1,1640.099976,69.8391037
2017,0,15,1,"""Connects_cores""",2,95,4268,82687.13,5353,5353.675399,19.37000084,15.44999981,-1,1798.189941,45.98350143
2017,0,16,1,"""Connects_cores""",2,98,1923,45036.5,2271,2271.83758,23.42000008,19.82999992,-1,1230.890015,36.58869934
2017,0,17,1,"""Connects_cores""",2,100,1367,29002.95,1843,1843.675319,21.21999931,15.73999977,-1,1126.660034,25.74239922
2017,0,18,1,"""Connects_cores""",2,102,1842,39872.32,2271,2271.837709,21.64999962,17.55999947,-1,1464.119995,27.2329998
2017,0,19,1,"""Connects_cores""",2,103,816,18625.99,1191,1191.8377,22.82999992,15.64000034,-1,705.7960205,26.38999939
2017,0,20,1,"""Connects_cores""",2,107,630,15040.78,1033,1033.675279,23.87000084,14.56000042,-1,706.2109985,21.29780006
2017,0,21,1,"""Connects_cores""",2,108,795,30248.2,1303,1303.675349,38.04999924,23.20999908,-1,2267.26001,13.34130001
2017,0,22,1,"""Connects_cores""",2,110,2292,36153.83,2877,2877.35074,15.77000046,12.56999969,-1,923.7540283,39.13790131
2017,0,23,1,"""Connects_cores""",2,111,1329,26541.69,1955,1955.51298,19.96999931,13.57999992,-1,722.0089722,36.76089859
2017,0,24,1,"""Connects_cores""",3,4,16214,437072.38,44826,44826.58434,26.95999908,9.75,-1,9838.769531,44.42350006
2017,0,25,1,"""Connects_cores""",3,97,12467,130246.45,15775,15775.12985,10.44999981,8.260000229,-1,2050.419922,63.52180099
2017,0,26,1,"""Connects_cores""",3,103,8542,106941.96,10541,10541.24026,12.52000046,10.14999962,-1,1261.300049,84.78739929
2017,0,27,1,"""Connects_cores""",3,104,6971,67351.92,8408,8408.376637,9.659999847,8.010000229,-1,1654.75,40.70230103
2017,0,28,1,"""Connects_cores""",3,111,5234,94400.79,6722,6722.863598,18.04000092,14.03999996,-1,1090.02002,86.60440063
2017,0,29,1,"""Connects_cores""",3,112,2990,38157.26,3529,3529.1883,12.76000023,10.81000042,-1,1037.609985,36.77429962
2017,0,30,1,"""Connects_cores""",3,114,5845,95295.33,6927,6927.350619,16.29999924,13.76000023,-1,1272.72998,74.87449646
2017,0,31,1,"""Connects_cores""",3,118,2602,39029.26,3081,3081.837619,15,12.67000008,-1,1023.5,38.1330986
2017,0,33,1,"""Connects_cores""",3,122,662,14126.3,1303,1303.675349,21.34000015,10.84000015,-1,1278.72998,11.04710007
2017,0,34,1,"""Connects_cores""",3,124,1363,20733.35,1797,1797.350618,15.21000004,11.53999996,-1,923.7650146,22.44440079
2017,0,35,1,"""Connects_cores""",4,5,13366,241520.81,22004,22004.31819,18.06999969,10.97999954,-1,18490.69922,13.0618
2017,0,36,1,"""Connects_cores""",4,7,1928,34198.98,3752,3752.863599,17.73999977,9.109999657,-1,2074.969971,16.4817009
2017,0,37,1,"""Connects_cores""",4,17,82273,1001246.44,93653,93653.5517,12.17000008,10.68999958,-1,17140,58.41559982
2017,0,38,1,"""Connects_cores""",4,19,78839,979190.94,94575,94575.38946,12.42000008,10.35000038,-1,15762,62.12369919
2017,0,39,1,"""Connects_cores""",4,46,56250,918468.75,91415,91415.43503,16.32999992,10.05000019,-1,12593.90039,72.92939758
2017,0,40,1,"""Connects_cores""",4,62,49618,913132.69,94829,94829.4936,18.39999962,9.630000114,-1,8659.230469,105.4520035
2017,0,41,1,"""Connects_cores""",4,94,35562,438392.56,44452,44452.69478,12.32999992,9.859999657,-1,13088.5,33.49459839
2017,0,42,1,"""Connects_cores""",4,97,33385,417599.91,42246,42246.37005,12.51000023,9.880000114,-1,13275.09961,31.45730019
2017,0,44,1,"""Connects_cores""",4,131,552,10153.18,921,921.8376301,18.38999939,11.02000046,-1,1548.079956,6.558549881
2017,0,45,1,"""Connects_cores""",4,132,913,105392.62,2113,2113.675259,115.4400024,49.88000107,-1,12072.40039,8.730050087
2017,0,46,1,"""Connects_cores""",4,133,547,7266.85,921,921.8376301,13.27999973,7.889999866,-1,709.8300171,10.23750019
2017,0,47,1,"""Connects_cores""",4,134,2700,766956,4944,4944.701169,284.0599976,155.1300049,-1,128453,5.970719814
2017,0,49,1,"""Connects_cores""",4,137,10259,1888443.63,24777,24777.77916,184.0800018,76.22000122,-1,191545,9.858989716
2017,0,50,1,"""Connects_cores""",4,138,561,152938.36,1461,1461.83767,272.6199951,104.6800003,-1,28952.30078,5.282420158
2017,0,51,1,"""Connects_cores""",4,139,1524,345383,2225,2225.512909,226.6300049,155.2299957,-1,72080.89844,4.791600227
2017,0,53,1,"""Connects_cores""",4,143,7715,1931804.38,28241,28241.45444,250.3999939,68.40000153,-1,198154,9.749030113
2017,0,54,1,"""Connects_cores""",4,144,13364,3856289.25,20727,20727.77902,288.5599976,186.0500031,-1,225979,17.06480026
2017,0,56,1,"""Connects_cores""",4,146,7154,1710914.13,41158,41158.42195,239.1499939,41.56999969,-1,169432,10.09790039
2017,0,57,1,"""Connects_cores""",4,147,17003,3641844.25,22077,22077.77914,214.1900024,164.9600067,-1,500785,7.272280216
2017,0,59,1,"""Connects_cores""",4,184,12624,135008.98,15123,15123.29224,10.68999958,8.930000305,-1,2294.110107,58.85029984
2017,0,60,1,"""Connects_cores""",4,194,5659,75531.88,6518,6518.376718,13.35000038,11.59000015,-1,1115.790039,67.69360352
2017,0,61,1,"""Connects_cores""",4,202,921,9302.88,1080,1079.99998,10.10000038,8.609999657,-1,521.9509888,17.82329941
2017,0,62,1,"""Connects_cores""",4,205,4404,66339.5,6611,6611.025978,15.06000042,10.02999973,-1,1426.670044,46.49959946
2017,0,63,1,"""Connects_cores""",4,207,622,5291.85,809,810.00001,8.510000229,6.539999962,-1,274.1700134,19.30139923
2017,0,64,1,"""Connects_cores""",4,210,1690,19618.27,2607,2607.350599,11.60999966,7.53000021,-1,821.3389893,23.88570023
2017,0,65,1,"""Connects_cores""",4,212,7499,108083.04,10271,10271.24032,14.40999985,10.52000046,-1,2138.73999,50.53580093
2017,0,66,1,"""Connects_cores""",4,215,694,8898,1303,1303.67542,12.81999969,6.829999924,-1,498.5289917,17.8484993
2017,0,67,1,"""Connects_cores""",5,121,2955,38704.4,3529,3529.188258,13.10000038,10.97000027,-1,735.3850098,52.63150024
2017,0,69,1,"""Connects_cores""",5,125,2160,40813.15,2653,2653.675412,18.88999939,15.38000011,-1,1233.430054,33.0890007
2017,0,70,1,"""Connects_cores""",5,126,2320,44524.31,3193,3193.67531,19.19000053,13.93999958,-1,916.4660034,48.58259964
2017,0,71,1,"""Connects_cores""",5,128,1409,26485.8,1797,1797.350589,18.79999924,14.73999977,-1,1198.160034,22.1053009
2017,0,73,1,"""Connects_cores""",6,157,723,31447.07,4385,4385.512939,43.5,7.170000076,-1,1765.579956,17.81119919
2017,0,74,1,"""Connects_cores""",6,158,1820,82820.33,7486,7486.538907,45.50999832,11.06000042,-1,7371.799805,11.23480034
2017,0,75,1,"""Connects_cores""",6,166,3414,36008.22,5010,5010.214248,10.55000019,7.190000057,-1,2952,12.19789982
2017,0,76,1,"""Connects_cores""",6,169,1519,39674.64,4991,4991.025999,26.12000084,7.949999809,-1,2930.75,13.53740025
2017,0,77,1,"""Connects_cores""",6,177,1339,126275.39,2271,2271.837609,94.30999756,55.59999847,-1,6582.049805,19.18479919
2017,0,78,1,"""Connects_cores""",6,183,3226,92372.52,5326,5326.538889,28.62999916,17.34000015,-1,2991.879883,30.87439919
2017,0,79,1,"""Connects_cores""",7,8,978,93712.85,2495,2495.512908,95.81999969,37.56000137,-1,7045.790039,13.30060005
2017,0,81,1,"""Connects_cores""",7,10,750,81040.46,1843,1843.675219,108.0500031,43.97000122,-1,5297.02002,15.29920006
